LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,JST1,JST2,JST3,JST4,JST5,JST6,JST7,JST8,VODUM1,VODUM2,VODUM3,VODUM4,VODUM5,VODUM6,VODUM7,VODUM8,LAM1,LAM2,LAM3,LAM4,LAM5,LAM6,LAM7,LAM8,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDF7,TFIDF8,Q17_1,Q17_2,Q17_3,feedback,age,gender,stance,topic_knowledge,RecordedDate,TAM1,TAM2,TAM3,TAM4,TAM5,TAM6,TAM7,TAM8,model,honeypot_all,honeypot_one
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,7 A baby should not come into the world unwanted.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,21,Female,Strongly agree,Somewhat agree,2020-05-08 09:30:35,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,25,Female,Strongly agree,Strongly agree,2020-05-08 09:30:52,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,14 Women should not be able to use abortion as a form of contraception.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,16 Abortion eliminates the potential societal contributions of a future human being.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,29,Male,Strongly agree,Somewhat agree,2020-05-08 09:31:00,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.","15 If women become pregnant, they should accept the responsibility that comes with producing a child.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,4 Fetuses are incapable of feeling pain when most abortions are performed.,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,It certainly gives one food for thought on the right to an abortion,70,Female,Strongly agree,Neither agree nor disagree,2020-05-08 09:31:08,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,"11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,Somewhat agree,Strongly disagree,Neither agree nor disagree,,34,Female,Strongly agree,Strongly agree,2020-05-08 09:31:09,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,30,Male,Strongly agree,Somewhat agree,2020-05-08 09:31:19,,,,,,,,,LAM,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",14 Women should not be able to use abortion as a form of contraception.,10 Fetuses feel pain during the abortion procedure.,9 Abortion is murder because unborn babies are human beings with a right to life.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,No thank you,30,Female,Strongly agree,Somewhat agree,2020-05-08 09:31:36,,,,,,,,,JST,False,True
8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,16 Abortion eliminates the potential societal contributions of a future human being.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,22,Male,Strongly agree,Neither agree nor disagree,2020-05-08 09:31:37,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,4 Fetuses are incapable of feeling pain when most abortions are performed.,16 Abortion eliminates the potential societal contributions of a future human being.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,Strongly agree,Strongly agree,Somewhat agree,,50,Female,Strongly agree,Strongly agree,2020-05-08 09:32:29,,,,,,,,,TFIDF,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,12 Abortions reduce the number of adoptable babies.,4 Fetuses are incapable of feeling pain when most abortions are performed.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,30,Female,Somewhat agree,Somewhat agree,2020-05-08 09:32:35,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,,31,Male,Strongly agree,Neither agree nor disagree,2020-05-08 09:33:05,,,,,,,,,LAM,True,True
8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,14 Women should not be able to use abortion as a form of contraception.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,25,Male,Somewhat agree,Strongly disagree,2020-05-08 09:33:16,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",14 Women should not be able to use abortion as a form of contraception.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,30,Female,Somewhat agree,Somewhat agree,2020-05-08 09:33:18,,,,,,,,,VODUM,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,12 Abortions reduce the number of adoptable babies.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,34,Male,Strongly agree,Somewhat agree,2020-05-08 09:33:50,,,,,,,,,JST,True,True
8 Abortion is justified as a means of population control.,4 Fetuses are incapable of feeling pain when most abortions are performed.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,20,Male,Strongly agree,Neither agree nor disagree,2020-05-08 09:34:03,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,,21,Female,Strongly agree,Somewhat agree,2020-05-08 09:34:12,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,,29,Male,Strongly agree,Somewhat agree,2020-05-08 09:34:36,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,2 Reproductive choice empowers women by giving them control over their own bodies.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,20,Female,Strongly agree,Strongly agree,2020-05-08 09:34:37,,,,,,,,,VODUM,True,True
8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,43,Female,Strongly agree,Neither agree nor disagree,2020-05-08 09:36:33,,,,,,,,,LDA,True,True
8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,7 A baby should not come into the world unwanted.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,,19,Female,Strongly agree,Strongly agree,2020-05-08 09:37:15,,,,,,,,,LDA,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,12 Abortions reduce the number of adoptable babies.,10 Fetuses feel pain during the abortion procedure.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,65,Male,Strongly agree,Somewhat agree,2020-05-08 09:37:41,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,12 Abortions reduce the number of adoptable babies.,"11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,,20,Female,Strongly agree,Strongly agree,2020-05-08 09:37:53,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,,38,Male,Somewhat disagree,Somewhat agree,2020-05-08 09:38:23,,,,,,,,,LAM,True,True
8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,,28,Male,Strongly agree,Somewhat agree,2020-05-08 09:38:30,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,12 Abortions reduce the number of adoptable babies.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,9 Abortion is murder because unborn babies are human beings with a right to life.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,Strongly agree,Somewhat agree,Strongly agree,,40,Male,Somewhat disagree,Somewhat agree,2020-05-08 09:38:39,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,10 Fetuses feel pain during the abortion procedure.,16 Abortion eliminates the potential societal contributions of a future human being.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,,,,,,,,,Strongly agree,Strongly disagree,Neither agree nor disagree,,21,Female,Strongly agree,Somewhat agree,2020-05-08 09:38:50,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,14 Women should not be able to use abortion as a form of contraception.,10 Fetuses feel pain during the abortion procedure.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,Strongly agree,Somewhat agree,Somewhat disagree,,29,Female,Strongly agree,Strongly agree,2020-05-08 09:39:14,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,7 A baby should not come into the world unwanted.,9 Abortion is murder because unborn babies are human beings with a right to life.,12 Abortions reduce the number of adoptable babies.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,4 Fetuses are incapable of feeling pain when most abortions are performed.,2 Reproductive choice empowers women by giving them control over their own bodies.,Strongly disagree,Somewhat agree,Strongly disagree,,26,Male,Somewhat agree,Strongly agree,2020-05-08 09:39:16,,,,,,,,,TFIDF,False,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,40,Female,Neither agree nor disagree,Neither agree nor disagree,2020-05-08 09:40:34,,,,,,,,,LAM,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,10 Fetuses feel pain during the abortion procedure.,2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,,45,Male,Somewhat agree,Somewhat agree,2020-05-08 09:40:44,,,,,,,,,JST,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,16 Abortion eliminates the potential societal contributions of a future human being.,7 A baby should not come into the world unwanted.,Somewhat disagree,Strongly disagree,Somewhat agree,,18,Female,Strongly disagree,Strongly agree,2020-05-08 09:42:56,,,,,,,,,TFIDF,True,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,9 Abortion is murder because unborn babies are human beings with a right to life.,14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,,30,Female,Neither agree nor disagree,Neither agree nor disagree,2020-05-08 09:44:17,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,7 A baby should not come into the world unwanted.,12 Abortions reduce the number of adoptable babies.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,,27,Male,Somewhat agree,Somewhat agree,2020-05-08 09:44:17,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,"11 Abortion is the killing of a human being, which defies the word of God.",4 Fetuses are incapable of feeling pain when most abortions are performed.,14 Women should not be able to use abortion as a form of contraception.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,Strongly agree,Strongly agree,Strongly agree,The survey went seamlessly. Thank you!,25,Male,Somewhat disagree,Strongly agree,2020-05-08 09:44:40,,,,,,,,,TFIDF,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",12 Abortions reduce the number of adoptable babies.,9 Abortion is murder because unborn babies are human beings with a right to life.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,,22,Female,Somewhat agree,Somewhat agree,2020-05-08 09:45:12,,,,,,,,,JST,True,True
,,,,,,,,8 Abortion is justified as a means of population control.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",4 Fetuses are incapable of feeling pain when most abortions are performed.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,,21,Male,Somewhat disagree,Neither agree nor disagree,2020-05-08 09:46:04,,,,,,,,,JST,True,True
8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,10 Fetuses feel pain during the abortion procedure.,4 Fetuses are incapable of feeling pain when most abortions are performed.,16 Abortion eliminates the potential societal contributions of a future human being.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Strongly disagree,,27,Female,Strongly agree,Somewhat agree,2020-05-08 09:46:24,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,"11 Abortion is the killing of a human being, which defies the word of God.",7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,2 Reproductive choice empowers women by giving them control over their own bodies.,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,A foetus will have feelings & i believe it is wrong to kill a baby within a mother. ,52,Male,Strongly disagree,Somewhat agree,2020-05-08 09:47:48,,,,,,,,,LAM,False,True
,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,9 Abortion is murder because unborn babies are human beings with a right to life.,12 Abortions reduce the number of adoptable babies.,7 A baby should not come into the world unwanted.,14 Women should not be able to use abortion as a form of contraception.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,10 Fetuses feel pain during the abortion procedure.,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,20,Male,Somewhat disagree,Somewhat agree,2020-05-08 09:48:33,,,,,,,,,VODUM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,7 A baby should not come into the world unwanted.,9 Abortion is murder because unborn babies are human beings with a right to life.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,12 Abortions reduce the number of adoptable babies.,13 Selective abortion based on genetic abnormalities (eugenic termination) is overt discrimination.,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,43,Female,Somewhat agree,Neither agree nor disagree,2020-05-08 09:48:36,,,,,,,,,TFIDF,False,True
8 Abortion is justified as a means of population control.,4 Fetuses are incapable of feeling pain when most abortions are performed.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",14 Women should not be able to use abortion as a form of contraception.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Strongly disagree,very difficult to give categories for most of these,40,Female,Somewhat agree,Neither agree nor disagree,2020-05-08 09:48:43,,,,,,,,,LDA,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.","11 Abortion is the killing of a human being, which defies the word of God.",12 Abortions reduce the number of adoptable babies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,,18,Male,Somewhat disagree,Somewhat agree,2020-05-08 09:48:54,,,,,,,,,LAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,8 Abortion is justified as a means of population control.,12 Abortions reduce the number of adoptable babies.,"11 Abortion is the killing of a human being, which defies the word of God.",2 Reproductive choice empowers women by giving them control over their own bodies.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,49,Female,Somewhat agree,Somewhat agree,2020-05-08 09:49:05,,,,,,,,,LAM,True,True
